net,length_um
u_input_fifo.mem\[8\]\[11\],9.7
_0988_,9.64
u_input_fifo.mem\[10\]\[7\],9.64
_0271_,9.6
_1146_,9.58
u_viterbi_core.u_tbu.history_s3\[1\],9.58
_0247_,9.54
_1406_,9.54
data_i[15],9.52
_1352_,9.5
u_viterbi_core.u_tbu.history_s2\[4\],9.5
u_viterbi_core.u_tbu.history_s2\[14\],9.48
_0019_,9.465
_1186_,9.46
_0172_,9.445
_1597_,9.44
_0513_,9.42
u_input_fifo.mem\[12\]\[5\],9.42
_0077_,9.375
u_input_fifo.mem\[8\]\[6\],9.36
u_viterbi_core.u_tbu.history_s2\[6\],9.36
net103,9.36
_0928_,9.32
_1367_,9.32
u_input_fifo.mem\[7\]\[7\],9.3
_1161_,9.28
_1456_,9.28
u_input_fifo.mem\[10\]\[2\],9.28
_0748_,9.26
u_input_fifo.mem\[12\]\[15\],9.24
u_piso.shift_reg\[4\],9.24
_1428_,9.22
_0249_,9.18
_1026_,9.16
_1409_,9.16
u_input_fifo.mem\[14\]\[9\],9.16
u_input_fifo.mem\[15\]\[3\],9.16
u_input_fifo.mem\[4\]\[4\],9.16
u_input_fifo.mem\[6\]\[14\],9.16
u_input_fifo.mem\[8\]\[14\],9.16
u_input_fifo.mem\[15\]\[6\],9.14
u_input_fifo.mem\[0\]\[2\],9.12
_0035_,9.105
_1438_,9.1
data_i[14],9.06
dvalid_i,9.06
_0563_,9.02
_0610_,9.02
_1309_,9.02
u_piso.shift_reg\[7\],9.02
u_input_fifo.mem\[15\]\[7\],9
u_input_fifo.mem\[7\]\[0\],9
_0758_,8.96
_0759_,8.96
_0977_,8.94
u_input_fifo.mem\[4\]\[13\],8.94
_0346_,8.9
net130,8.9
_0567_,8.86
data_i[1],8.84
_1219_,8.82
u_input_fifo.mem\[10\]\[5\],8.805
_0986_,8.8
_1251_,8.8
_1467_,8.76
_0569_,8.74
data_i[6],8.73
_0965_,8.72
data_i[2],8.72
data_i[5],8.72
u_input_fifo.mem\[11\]\[7\],8.7
u_piso.count\[1\],8.66
_0246_,8.6
_1193_,8.6
_1289_,8.6
net85,8.6
_0396_,8.56
_0585_,8.56
u_input_fifo.mem\[5\]\[14\],8.535
_0238_,8.525
_0691_,8.52
_1168_,8.52
_0827_,8.5
_1166_,8.5
_1140_,8.48
_0514_,8.44
_1004_,8.44
_1181_,8.44
_0419_,8.4
_0848_,8.4
_0956_,8.4
_1566_,8.4
net269,8.4
data_i[0],8.39
